断面编号  起点距(m)  流量(m3/s)  底高程(m)  水位(m)  面积(m2)
      J101   37500.000000     500.000000     106.410004       6.146347     316.524780
      J100   37155.000000     499.999786     106.779999       5.115234     285.079529
       J99   36930.000000     499.997620     106.570000       4.870468     293.318115
       J98   36500.000000     499.996002     104.059998       6.588867     284.529022
       J97   36045.000000     499.995209     103.919998       5.622070     232.669861
       J96   35500.000000     499.993805     103.470001       4.952309     289.868500
       J95   35000.000000     499.997253     102.099998       5.195824     259.924652
       J94   34500.000000     500.000275     101.639999       3.663345     184.200760
       J93   34050.000000     499.998505     100.300003       4.589935     397.820618
       J92   33758.000000     499.997284      99.959999       4.832756     669.617310
       J91   33500.000000     499.998535      99.180000       5.085266     217.598450
       J90   33000.000000     499.997406      99.110001       4.366966     284.790680
       J89   32842.000000     499.995911      97.849998       5.473427     463.746185
       J88   32671.000000     499.995605      97.800003       5.244820     397.171539
       J87   32500.000000     499.995972      97.800003       4.996452     406.071625
       J86   32000.000000     499.994812      96.199997       6.085274     460.717651
       J85   31721.000000     499.992188      96.440002       5.404335     354.482208
       J84   31500.000000     499.992188      95.470001       6.188271     477.949463
       J83   31000.000000     499.989807      94.739998       6.289528     353.133057
       J82   30500.000000     499.986328      93.760002       3.883392     126.576042
       J81   30000.000000     499.986481      93.050003       4.550171     544.300415
       J80   29500.000000     499.979858      92.580002       4.602089     472.005737
       J79   29000.000000     499.978088      91.099998       5.525932     475.241852
       J78   28500.000000     499.975067      90.620003       4.881935     267.890778
       J77   28000.000000     499.973236      89.860001       4.644646     303.766449
       J76   27500.000000     499.971588      89.510002       4.801697     730.697205
       J75   27000.000000     499.965637      89.010002       4.690353     303.830200
       J74   26500.000000     499.965546      88.190002       5.107117     420.662140
       J73   26293.000000     499.966675      88.000000       4.931808     298.323090
       J72   26113.000000     499.965454      88.110001       4.518814     341.804810
       J71   25862.000000     499.966034      87.620003       4.333313     284.558380
       J70   25500.000000     499.964783      86.779999       4.616722     343.249268
       J69   25000.000000     499.962372      86.800003       3.948517     365.585907
       J68   24500.000000     499.959198      86.320000       3.753342     390.441040
       J67   24249.000000     499.959137      85.120003       4.786560     497.983276
       J66   24000.000000     499.958069      84.620003       5.085411     433.169525
       J65   23748.000000     499.958069      85.010002       4.417137     422.512726
       J64   23500.000000     499.956726      84.720001       4.542915     602.364075
       J63   23287.000000     499.955475      84.070000       5.108292     728.514282
       J62   23168.000000     499.956421      83.779999       5.340881     624.273132
       J61   23000.000000     499.957336      83.059998       5.864471     447.871643
       J60   22500.000000     499.957306      83.230003       5.039047     471.250092
       J59   22000.000000     499.954926      83.169998       4.513428     395.333252
       J58   21500.000000     499.953705      82.360001       4.771400     398.236206
       J57   21000.000000     499.952301      81.650002       4.884727     462.040375
       J56   20738.000000     499.950195      81.580002       4.268402     278.228516
       J55   20500.000000     499.950470      81.209999       4.278664     396.566132
