时间(小时)  断面编号  流量(m3/s)  面积(m2)  水深(m)
     1        88      74.608688      91.536179       1.830724
     2        88      21.048672      71.899757       1.437995
     3        88      11.126349      70.356163       1.407123
     4        88      10.612710      70.318672       1.406374
     5        88      10.835351      70.345390       1.406908
     6        88      11.077648      70.374199       1.407484
     7        88      11.319794      70.403648       1.408073
     8        88      11.562307      70.433769       1.408675
     9        88      11.804605      70.464355       1.409287
    10        88      12.046863      70.495644       1.409913
    11        88      12.289021      70.527420       1.410548
    12        88      12.530869      70.559875       1.411198
    13        88      12.772846      70.592888       1.411858
    14        88      13.014801      70.626480       1.412530
    15        88      13.256846      70.660622       1.413212
    16        88      13.498788      70.695297       1.413906
    17        88      13.740689      70.730682       1.414614
    18        88      13.982581      70.766609       1.415332
    19        88      14.224325      70.803070       1.416061
    20        88      14.465913      70.840088       1.416802
    21        88      14.707667      70.877647       1.417553
    22        88      14.949358      70.915855       1.418317
    23        88      15.190851      70.954605       1.419092
    24        88      15.432631      70.993874       1.419878
    25        88      15.673984      71.033653       1.420673
    26        88      15.915388      71.074104       1.421482
    27        88      16.157110      71.115089       1.422302
    28        88      16.398375      71.156570       1.423131
    29        88      16.639910      71.198563       1.423971
    30        88      16.881260      71.241173       1.424823
    31        88      17.122797      71.284271       1.425685
    32        88      17.364038      71.327995       1.426560
    33        88      17.605450      71.372131       1.427443
    34        88      17.846727      71.416885       1.428338
    35        88      18.088142      71.462128       1.429243
    36        88      18.329500      71.507874       1.430157
    37        88      18.570631      71.554214       1.431084
    38        88      18.811899      71.601036       1.432021
    39        88      19.052914      71.648453       1.432969
    40        88      19.294207      71.696213       1.433924
    41        88      19.535515      71.744629       1.434893
    42        88      19.776564      71.793526       1.435871
    43        88      20.017729      71.842941       1.436859
    44        88      20.258854      71.892822       1.437856
    45        88      20.499899      71.943214       1.438864
    46        88      20.741035      71.994080       1.439882
    47        88      20.982071      72.045471       1.440909
    48        88      21.223099      72.097382       1.441948
    49        88      21.464117      72.149765       1.442995
    50        88      21.705194      72.202652       1.444053
    51        88      21.946127      72.255959       1.445119
    52        88      22.187298      72.309769       1.446195
    53        88      22.428183      72.364120       1.447282
    54        88      22.669243      72.418884       1.448378
    55        88      22.910261      72.474174       1.449484
    56        88      23.151119      72.529831       1.450597
    57        88      23.391956      72.586044       1.451721
    58        88      23.633017      72.642647       1.452853
    59        88      23.873896      72.699768       1.453995
    60        88      24.114624      72.757324       1.455146
    61        88      24.355513      72.815376       1.456308
    62        88      24.596512      72.873833       1.457477
    63        88      24.837366      72.932732       1.458655
    64        88      25.078260      72.992142       1.459843
    65        88      25.319099      73.051910       1.461038
    66        88      25.559917      73.112152       1.462243
    67        88      25.800739      73.172813       1.463456
    68        88      26.041754      73.233902       1.464678
    69        88      26.282381      73.295479       1.465910
    70        88      26.523176      73.357399       1.467148
    71        88      26.763905      73.419830       1.468397
    72        88      27.004763      73.482643       1.469653
    73        88      27.245586      73.545876       1.470917
    74        88      27.486288      73.609474       1.472189
    75        88      27.727037      73.673553       1.473471
    76        88      27.967808      73.738037       1.474761
    77        88      28.208561      73.802856       1.476057
    78        88      28.449123      73.868156       1.477363
    79        88      28.690001      73.933807       1.478676
    80        88      28.930822      73.999840       1.479997
    81        88      29.171503      74.066307       1.481326
    82        88      29.412254      74.133125       1.482663
    83        88      29.652964      74.200378       1.484008
